Country/Region,Total_confirmed_cases,Total_deaths,Recovered_covid,Recovered_percentage,Death_percentage
Senegal,59667120,2779958,56887162,95.34088791280692,4.659112087193081
Serbia,1229634680,19822258,1209812422,98.38795551862607,1.6120444813739314
Seychelles,24270209,190740,24079469,99.21409823870903,0.7859017612909721
Sierra Leone,5661556,212562,5448994,96.24551978290067,3.754480217099328
Singapore,723549534,1382446,722167088,99.80893554137788,0.19106445862212387
Slovakia,1354411039,25524984,1328886055,98.11541819543602,1.8845818045639835
Slovenia,571300536,9174264,562126272,98.3941439886904,1.6058560113096059
Solomon Islands,7770208,114476,7655732,98.52673184553103,1.4732681544689665
Somalia,17864013,1795436,16068577,89.94942513756567,10.050574862434324
South Africa,2613099489,142062088,2471037401,94.5634642462708,5.436535753729199
South Sudan,11968118,222308,11745810,98.14249826079589,1.8575017392041087
Spain,7071275148,169148402,6902126746,97.6079504974737,2.3920495025263016
Sri Lanka,394357499,18525534,375831965,95.30235026670559,4.6976497332944085
Sudan,42936981,6361832,36575149,85.18332716499094,14.816672835009056
Summer Olympics 2020,498688,0,498688,100.0,0.0
Suriname,44282284,1615784,42666500,96.35117285278238,3.64882714721761
Sweden,1471014062,30118292,1440895770,97.95254900833164,2.0474509916683585
Switzerland,1912980451,21072554,1891907897,98.89844383987383,1.1015561601261759
Syria,35209217,4125402,31083815,88.2831759649753,11.716824035024691
Taiwan*,1966380260,7347550,1959032710,99.62634134661218,0.3736586533878244
Tajikistan,15269261,218182,15051079,98.57110308088912,1.4288969191108856
Tanzania,19173667,874980,18298687,95.43655368584425,4.563446314155764
Thailand,2095658184,31317106,2064341078,98.5056195595684,1.4943804404315966
Timor-Leste,13419221,149388,13269833,98.88676101243135,1.1132389875686524
Togo,22732219,373000,22359219,98.35915710648398,1.6408428935160269
Tonga,4975228,8280,4966948,99.8335754662902,0.1664245337098119
Trinidad and Tobago,83638566,4160426,79478140,95.02570859476477,4.974291405235236
Tunisia,644407283,37196808,607210475,94.22774866434898,5.7722513356510285
Turkey,8840742699,125617428,8715125271,98.57910774833195,1.4208922516680518
Tuvalu,322901,0,322901,100.0,0.0
US,53813184406,1427754430,52385429976,97.34683155111556,2.6531684488844522
Uganda,103587926,4380970,99206956,95.77077158586997,4.2292284141300405
Ukraine,3190613850,141441202,3049172648,95.56695956798407,4.433040432015927
United Arab Emirates,653554125,3453424,650100701,99.47159326704579,0.528406732954214
United Kingdom,12118271679,321673354,11796598325,97.34555089602888,2.6544491039711073
Uruguay,498924080,9274742,489649338,98.14105144013094,1.8589485598690687
Uzbekistan,160141741,2225250,157916491,98.6104497265332,1.3895502734668033
Vanuatu,3782631,9878,3772753,99.73885901109571,0.26114098890428383
Venezuela,341179029,7460094,333718935,97.81343712072056,2.1865628792794296
Vietnam,4314591370,42420712,4272170658,99.01680812011637,0.9831918798836331
West Bank and Gaza,412543696,7509418,405034278,98.17972785118016,1.8202721488198428
Winter Olympics 2022,214462,0,214462,100.0,0.0
Yemen,7879435,3030892,4848543,61.534145532008324,38.465854467991676
Zambia,195953683,5263444,190690239,97.31393464036091,2.6860653596390938
Zimbabwe,140385286,6921434,133463852,95.06968700409244,4.9303129959075624
